route_id;route_short_name;route_long_name;route_type;route_color;route_url;shape;geo_point_2d
29R;29R;RÉSA AUBERS<>WAVRIN;Bus;FFFFFF;;"{""coordinates"": [[[2.825371, 50.595459], [2.830844, 50.59742], [2.853917, 50.605704], [2.866441, 50.607661], [2.885963, 50.613873], [2.88464, 50.615368], [2.906492, 50.621476], [2.909471, 50.616888], [2.916745, 50.605811], [2.937374, 50.574557]], [[2.937374, 50.574557], [2.915123, 50.605666], [2.909514, 50.616888], [2.906287, 50.621998], [2.884698, 50.615556], [2.865062, 50.607918], [2.854316, 50.606106], [2.830731, 50.59734], [2.825371, 50.595459]]], ""type"": ""MultiLineString""}";50.6045658188,2.88799105856
933;933;LA BASSÉE - BEAUCAMPS;Bus;C8C8C8;;"{""coordinates"": [[[2.919549, 50.603259], [2.86551, 50.580878], [2.858498, 50.578647], [2.854816, 50.576752], [2.850795, 50.577603], [2.847605, 50.578361], [2.82274, 50.577053], [2.824343, 50.5724], [2.832689, 50.561628], [2.835194, 50.558685], [2.836008, 50.558394], [2.818156, 50.539868], [2.814797, 50.535961], [2.811406, 50.533166], [2.809327, 50.532124], [2.804141, 50.531399], [2.80416, 50.536504]], [[2.919549, 50.603259], [2.915509, 50.604956], [2.9018, 50.596775], [2.893039, 50.589647], [2.887391, 50.586049], [2.884239, 50.583874], [2.87386, 50.580457], [2.86551, 50.580878], [2.858498, 50.578647], [2.854816, 50.576752], [2.850795, 50.577603]], [[2.80416, 50.536504], [2.804647, 50.531406], [2.809327, 50.53207], [2.815663, 50.536747], [2.81858, 50.540046], [2.836335, 50.558707], [2.835223, 50.558747], [2.832272, 50.562177], [2.824007, 50.572598], [2.822637, 50.576623], [2.848324, 50.578412], [2.851085, 50.57701], [2.865524, 50.58086], [2.873916, 50.580402], [2.884282, 50.5839], [2.888256, 50.586547], [2.893564, 50.589977], [2.900932, 50.596008], [2.913286, 50.602867]], [[2.852174, 50.582935], [2.852472, 50.579014], [2.851085, 50.57701], [2.855014, 50.576832], [2.858342, 50.578558], [2.865524, 50.58086], [2.873916, 50.580402], [2.884282, 50.5839], [2.888256, 50.586547], [2.893564, 50.589977], [2.900932, 50.596008], [2.913286, 50.602867]], [[2.919549, 50.603259], [2.915509, 50.604956], [2.9018, 50.596775], [2.893039, 50.589647], [2.887391, 50.586049], [2.884239, 50.583874], [2.87386, 50.580457], [2.86551, 50.580878], [2.858498, 50.578647], [2.854816, 50.576752], [2.850795, 50.577603], [2.847605, 50.578361], [2.82274, 50.577053], [2.824343, 50.5724], [2.832689, 50.561628], [2.835194, 50.558685], [2.836008, 50.558394], [2.818156, 50.539868], [2.814797, 50.535961], [2.811406, 50.533166], [2.809327, 50.532124], [2.804141, 50.531399], [2.80416, 50.536504]]], ""type"": ""MultiLineString""}";50.5747505828,2.85859554061
934;934;LA BASSÉE - CHR B CALMETTE;Bus;C8C8C8;;"{""coordinates"": [[[2.80416, 50.536504], [2.804647, 50.531406], [2.809327, 50.53207], [2.815663, 50.536747], [2.81858, 50.540046], [2.836335, 50.558707], [2.835223, 50.558747], [2.832272, 50.562177], [2.824007, 50.572598], [2.822637, 50.576623], [2.848324, 50.578412], [2.851085, 50.57701], [2.855014, 50.576832], [2.858342, 50.578558], [2.865524, 50.58086], [2.873916, 50.580402], [2.884282, 50.5839], [2.888256, 50.586547], [2.893564, 50.589977], [2.900932, 50.596008], [2.916745, 50.605811], [2.928487, 50.614089], [2.931374, 50.619816], [2.938642, 50.619099], [2.959909, 50.625121], [2.96589, 50.61743], [2.969722, 50.613831], [2.972597, 50.612587], [2.976324, 50.611895], [2.982806, 50.610561], [2.988738, 50.611427], [2.994305, 50.611317], [3.006475, 50.613664], [3.011531, 50.614328], [3.017633, 50.615146], [3.033125, 50.617967], [3.036681, 50.613111], [3.039333, 50.608225]], [[3.039333, 50.608225], [3.036257, 50.613024], [3.03189, 50.618359], [3.015983, 50.615075], [3.010459, 50.614235], [3.005329, 50.613321], [2.993953, 50.611301], [2.988119, 50.611529], [2.983654, 50.610772], [2.97517, 50.612081], [2.972541, 50.612677], [2.969432, 50.614299], [2.965252, 50.618276], [2.959728, 50.625301], [2.938345, 50.619065], [2.931291, 50.619942], [2.927934, 50.613823], [2.915509, 50.604956], [2.9018, 50.596775], [2.893039, 50.589647], [2.887391, 50.586049], [2.884239, 50.583874], [2.87386, 50.580457], [2.86551, 50.580878], [2.858498, 50.578647], [2.854816, 50.576752], [2.850795, 50.577603], [2.847605, 50.578361], [2.82274, 50.577053], [2.824343, 50.5724], [2.832689, 50.561628], [2.835194, 50.558685], [2.836008, 50.558394], [2.818156, 50.539868], [2.814797, 50.535961], [2.811406, 50.533166], [2.809327, 50.532124], [2.804141, 50.531399], [2.80416, 50.536504]]], ""type"": ""MultiLineString""}";50.5909636039,2.90794440457
13;13;LILLE FIVES <> V.D'ASCQ HÔTEL DE VILLE;Bus;9767;;"{""coordinates"": [[[3.089736, 50.63292], [3.095366, 50.634034], [3.098192, 50.634322], [3.103675, 50.634135], [3.10702, 50.635137], [3.105052, 50.637446], [3.101191, 50.638636], [3.099626, 50.642341], [3.099526, 50.644154], [3.102496, 50.645526], [3.106713, 50.646352], [3.111744, 50.646025], [3.117338, 50.64555], [3.120928, 50.64237], [3.126537, 50.64472], [3.129937, 50.646483], [3.132898, 50.64554], [3.138525, 50.643629], [3.135442, 50.643165], [3.134009, 50.639084], [3.127462, 50.638982], [3.124965, 50.638056], [3.126443, 50.636118], [3.125843, 50.63204], [3.128547, 50.630911], [3.130999, 50.628105], [3.129428, 50.624159], [3.139605, 50.627422], [3.142818, 50.626414], [3.146353, 50.625243], [3.150632, 50.626488], [3.158476, 50.62493], [3.16301, 50.622791], [3.159182, 50.618995], [3.157115, 50.616766], [3.154376, 50.617394], [3.147679, 50.619152], [3.144332, 50.620564], [3.141195, 50.619329], [3.137691, 50.619746], [3.134447, 50.617058], [3.130953, 50.618956]], [[3.130953, 50.618956], [3.133893, 50.616748], [3.139215, 50.61979], [3.141391, 50.619202], [3.144849, 50.620319], [3.147929, 50.618935], [3.154446, 50.61734], [3.157825, 50.617085], [3.159779, 50.619269], [3.162593, 50.623207], [3.158294, 50.625038], [3.150139, 50.62651], [3.147195, 50.62495], [3.144643, 50.625855], [3.139432, 50.627217], [3.129302, 50.624223], [3.130949, 50.628491], [3.128914, 50.630899], [3.125737, 50.631575], [3.127985, 50.63635], [3.127432, 50.638857], [3.134036, 50.639021], [3.138525, 50.643629], [3.135145, 50.643983], [3.132915, 50.645684], [3.12901, 50.646794], [3.126297, 50.643851], [3.119317, 50.643133], [3.117256, 50.645775], [3.111928, 50.646059], [3.105484, 50.646243], [3.101844, 50.64536], [3.099713, 50.644341], [3.099292, 50.641769], [3.101187, 50.638385], [3.104952, 50.637348], [3.106839, 50.634394], [3.102692, 50.634375], [3.097317, 50.634327], [3.094477, 50.634013], [3.08991, 50.633215]], [[3.130953, 50.618956], [3.133893, 50.616748], [3.139215, 50.61979], [3.141391, 50.619202], [3.144849, 50.620319], [3.147929, 50.618935], [3.154446, 50.61734], [3.157825, 50.617085], [3.159779, 50.619269], [3.162593, 50.623207], [3.158294, 50.625038], [3.150139, 50.62651], [3.147195, 50.62495], [3.144643, 50.625855], [3.139432, 50.627217], [3.129302, 50.624223], [3.130949, 50.628491], [3.128914, 50.630899], [3.125737, 50.631575], [3.127985, 50.63635], [3.127432, 50.638857], [3.134036, 50.639021], [3.135145, 50.643983], [3.132915, 50.645684], [3.12901, 50.646794], [3.126297, 50.643851], [3.119317, 50.643133], [3.117256, 50.645775], [3.111928, 50.646059], [3.105484, 50.646243], [3.101844, 50.64536], [3.099713, 50.644341], [3.099292, 50.641769], [3.101187, 50.638385], [3.104952, 50.637348], [3.106839, 50.634394], [3.102692, 50.634375], [3.097317, 50.634327], [3.094477, 50.634013], [3.08991, 50.633215]], [[3.089736, 50.63292], [3.095366, 50.634034], [3.098192, 50.634322], [3.103675, 50.634135], [3.10702, 50.635137], [3.105052, 50.637446], [3.101191, 50.638636], [3.099626, 50.642341], [3.099526, 50.644154], [3.102496, 50.645526], [3.106713, 50.646352], [3.111744, 50.646025], [3.117338, 50.64555], [3.120928, 50.64237], [3.126537, 50.64472], [3.129937, 50.646483], [3.132898, 50.64554], [3.135442, 50.643165], [3.134009, 50.639084], [3.127462, 50.638982], [3.124965, 50.638056], [3.126443, 50.636118], [3.125843, 50.63204], [3.128547, 50.630911], [3.130999, 50.628105], [3.129428, 50.624159], [3.139605, 50.627422], [3.142818, 50.626414], [3.146353, 50.625243], [3.150632, 50.626488], [3.158476, 50.62493], [3.16301, 50.622791], [3.159182, 50.618995], [3.157115, 50.616766], [3.154376, 50.617394], [3.147679, 50.619152], [3.144332, 50.620564], [3.141195, 50.619329], [3.137691, 50.619746], [3.134447, 50.617058], [3.130953, 50.618956]], [[3.120928, 50.64237], [3.126537, 50.64472], [3.129937, 50.646483], [3.132898, 50.64554], [3.138525, 50.643629]]], ""type"": ""MultiLineString""}";50.6326404224,3.12903700839
Z4;Z4;TOURCOING GARE - BONDUES RAVENNES;Bus;D40A11;;"{""coordinates"": [[[3.167953, 50.717445], [3.16308, 50.719236], [3.161719, 50.719828], [3.158639, 50.720719], [3.158722, 50.720592], [3.159026, 50.717595], [3.155668, 50.712702], [3.148753, 50.71142], [3.145543, 50.713827], [3.143732, 50.715426], [3.138212, 50.716538], [3.135009, 50.717635], [3.129082, 50.717225], [3.13032, 50.721289], [3.127926, 50.722712]], [[3.127926, 50.722712], [3.130108, 50.72129], [3.12985, 50.71661], [3.135229, 50.717293], [3.138327, 50.716627], [3.144133, 50.71484], [3.145861, 50.713376], [3.149567, 50.711083], [3.153519, 50.710034], [3.156373, 50.712634], [3.158907, 50.717228], [3.158639, 50.720719], [3.158722, 50.720592], [3.16173, 50.719667], [3.16365, 50.718712], [3.167953, 50.717445]]], ""type"": ""MultiLineString""}";50.7163999154,3.1474036624
50;50;GARE LILLE FLANDRES <> GRAND SAINT ANDRÉ;Bus;F9B000;;"{""coordinates"": [[[3.035694, 50.664624], [3.038617, 50.667729], [3.041622, 50.667604], [3.04375, 50.666399], [3.039048, 50.66421], [3.037037, 50.660706], [3.039644, 50.658466], [3.042175, 50.655824], [3.050996, 50.654921], [3.057358, 50.654839], [3.060779, 50.652307], [3.060957, 50.648073], [3.061734, 50.645198], [3.061881, 50.643663], [3.065702, 50.64547], [3.06903, 50.640589], [3.07084, 50.637977]], [[3.07084, 50.637977], [3.075473, 50.639393], [3.065166, 50.646478], [3.062119, 50.645518], [3.061559, 50.648715], [3.060866, 50.652495], [3.057654, 50.654828], [3.050899, 50.655101], [3.04424, 50.658162], [3.042552, 50.658503], [3.040313, 50.657888], [3.036126, 50.661177], [3.039798, 50.664421], [3.043966, 50.666739], [3.040826, 50.668237], [3.036978, 50.666617], [3.035694, 50.664624]]], ""type"": ""MultiLineString""}";50.6546073819,3.05232494258
922;922;COLLÈGE MOLIÈRE;Bus;C8C8C8;;"{""coordinates"": [[[3.145443, 50.657892], [3.135543, 50.645945], [3.135145, 50.643983], [3.132915, 50.645684], [3.12901, 50.646794], [3.134009, 50.639084], [3.127462, 50.638982], [3.124965, 50.638056], [3.127985, 50.63635], [3.126537, 50.64472]], [[3.126773, 50.643579], [3.124965, 50.638056], [3.127985, 50.63635], [3.127432, 50.638857], [3.134036, 50.639021], [3.129937, 50.646483], [3.132898, 50.64554], [3.135655, 50.644105], [3.135942, 50.646202], [3.145443, 50.657892]], [[3.129937, 50.646483], [3.132898, 50.64554], [3.135942, 50.646202], [3.145443, 50.657892]], [[3.126773, 50.643579], [3.124965, 50.638056], [3.127985, 50.63635], [3.127432, 50.638857], [3.134036, 50.639021], [3.135655, 50.644105], [3.135942, 50.646202], [3.145443, 50.657892]], [[3.145443, 50.657892], [3.135543, 50.645945], [3.135442, 50.643165], [3.134009, 50.639084], [3.127462, 50.638982], [3.124965, 50.638056], [3.127985, 50.63635], [3.126537, 50.64472]], [[3.145443, 50.657892], [3.135543, 50.645945], [3.132915, 50.645684], [3.12901, 50.646794]]], ""type"": ""MultiLineString""}";50.645529187,3.13432491922
24R;24R;SOIRÉE RÉSA TOURCOING CENTRE;Bus;FFFFFF;;"{""coordinates"": [[[3.157267, 50.721454], [3.07583, 50.772309]], [[3.157267, 50.721454], [3.04677, 50.771717]], [[3.157267, 50.721454], [3.152971, 50.750794]], [[3.157267, 50.721454], [3.09242, 50.704134]], [[3.157267, 50.721454], [3.078925, 50.738891]]], ""type"": ""MultiLineString""}";50.7367811641,3.11670281073
911;911;HEM - ST ADRIEN;Bus;C8C8C8;;"{""coordinates"": [[[3.177173, 50.669305], [3.180983, 50.665046], [3.184751, 50.660059], [3.18858, 50.653664], [3.182538, 50.65437], [3.172981, 50.654085], [3.16144, 50.64904], [3.158162, 50.644451], [3.154531, 50.644125], [3.152931, 50.641176], [3.15527, 50.635832], [3.154794, 50.630892], [3.153438, 50.6256]], [[3.153884, 50.626135], [3.154939, 50.632004], [3.155284, 50.635814], [3.15329, 50.64155], [3.154716, 50.644205], [3.158559, 50.644583], [3.162042, 50.649637], [3.174006, 50.654643], [3.182889, 50.654251], [3.188737, 50.65378], [3.184409, 50.660672], [3.180788, 50.665208], [3.177526, 50.670137]], [[3.153884, 50.626135], [3.162042, 50.649637], [3.174006, 50.654643], [3.182889, 50.654251], [3.188737, 50.65378], [3.184409, 50.660672], [3.180788, 50.665208], [3.177526, 50.670137]]], ""type"": ""MultiLineString""}";50.6500935838,3.17035112544
921;921;TEMPLEMARS - CHARLEMAGNE;Bus;C8C8C8;;"{""coordinates"": [[[3.139594, 50.605632], [3.129805, 50.597236], [3.120839, 50.592655], [3.115998, 50.590362], [3.11733, 50.589008], [3.113429, 50.589203], [3.107929, 50.587076], [3.105811, 50.585869], [3.099288, 50.5832], [3.085134, 50.578945], [3.081346, 50.576187], [3.078107, 50.575336], [3.074545, 50.574559], [3.071871, 50.573794], [3.059655, 50.567784], [3.055835, 50.568551], [3.054328, 50.571493], [3.053067, 50.575914], [3.050009, 50.579798]], [[3.050734, 50.579265], [3.052929, 50.57613], [3.054363, 50.571026], [3.055736, 50.568524], [3.059795, 50.567684], [3.074517, 50.574532], [3.079068, 50.575536], [3.081771, 50.576363], [3.085576, 50.579274], [3.099754, 50.583287], [3.105512, 50.585673], [3.107146, 50.586551], [3.113457, 50.589149], [3.116081, 50.590263], [3.12088, 50.592583], [3.129049, 50.596693], [3.139594, 50.605632]]], ""type"": ""MultiLineString""}";50.5831030228,3.09376259561
